symbol,buy_time,buy_datetime,buy_price,sell_time,sell_datetime,sell_price,profit_pct,hold_hours
ADAUSDT,1679430599999,2023-03-21 20:29:59,0.3669,1679476499999,2023-03-22 09:14:59,0.3694,0.6813845734532576,12.75
ADAUSDT,1735757999999,2025-01-01 18:59:59,0.9216,1735799399999,2025-01-02 06:29:59,0.9257,0.44487847222222143,11.5
ADAUSDT,1740932999999,2025-03-02 16:29:59,1.0226,1740986999999,2025-03-03 07:29:59,1.0064,-1.5841971445335414,15.0
ADAUSDT,1746284399999,2025-05-03 14:59:59,0.7185,1746289799999,2025-05-03 16:29:59,0.7197,0.1670146137787027,1.5
AGIXUSDT,1700382599999,2023-11-19 08:29:59,0.273,1700397899999,2023-11-19 12:44:59,0.272,-0.3663003663003666,4.25
AGIXUSDT,1711322999999,2024-03-24 23:29:59,1.1283,1711333799999,2024-03-25 02:29:59,1.1087,-1.7371266507134682,3.0
ALCHUSDT,1742214599999,2025-03-17 12:29:59,0.06302,1742256899999,2025-03-18 00:14:59,0.0665,5.522056490003168,11.75
ALCHUSDT,1764449099999,2025-11-29 20:44:59,0.16611,1764461699999,2025-11-30 00:14:59,0.16268,-2.0648967551622515,3.5
ALPHAUSDT,1650448799999,2022-04-20 09:59:59,0.3895,1650462299999,2022-04-20 13:44:59,0.3882,-0.3337612323491716,3.75
ALPHAUSDT,1665870299999,2022-10-15 21:44:59,0.1207,1665885599999,2022-10-16 01:59:59,0.1159,-3.976801988400993,4.25
ALPHAUSDT,1667453399999,2022-11-03 05:29:59,0.1255,1667461499999,2022-11-03 07:44:59,0.1234,-1.6733067729083704,2.25
ALPHAUSDT,1682625599999,2023-04-27 19:59:59,0.11878,1682696699999,2023-04-28 15:44:59,0.11954,0.6398383566256919,19.75
ALPHAUSDT,1729323899999,2024-10-19 07:44:59,0.06079,1729324799999,2024-10-19 07:59:59,0.06018,-1.0034545155453192,0.25
ALPHAUSDT,1746076499999,2025-05-01 05:14:59,0.03884,1746116099999,2025-05-01 16:14:59,0.03835,-1.2615859938207967,11.0
ALPHAUSDT,1747667699999,2025-05-19 15:14:59,0.03395,1747701899999,2025-05-20 00:44:59,0.03264,-3.858615611192927,9.5
ALPHAUSDT,1758563999999,2025-09-22 17:59:59,0.02379,1758566699999,2025-09-22 18:44:59,0.02248,-5.506515342580911,0.75
ALPINEUSDT,1757006099999,2025-09-04 17:14:59,1.8708,1757006999999,2025-09-04 17:29:59,1.8644,-0.3420996365191341,0.25
AMBUSDT,1695392099999,2023-09-22 14:14:59,0.008567,1695396599999,2023-09-22 15:29:59,0.008579,0.14007237072487286,1.25
AMBUSDT,1699888499999,2023-11-13 15:14:59,0.009564,1699890299999,2023-11-13 15:44:59,0.009404,-1.6729401923881264,0.5
AMBUSDT,1705916699999,2024-01-22 09:44:59,0.008334,1705937399999,2024-01-22 15:29:59,0.007695,-7.667386609071272,5.75
AMBUSDT,1707283799999,2024-02-07 05:29:59,0.007729,1707356699999,2024-02-08 01:44:59,0.008018,3.73916418682884,20.25
AMBUSDT,1717001099999,2024-05-29 16:44:59,0.010105,1717014599999,2024-05-29 20:29:59,0.009793,-3.0875804057397307,3.75
AMBUSDT,1722034799999,2024-07-26 22:59:59,0.007472,1722049199999,2024-07-27 02:59:59,0.007038,-5.808351177730197,4.0
AMBUSDT,1723978799999,2024-08-18 10:59:59,0.008632,1723984199999,2024-08-18 12:29:59,0.008344,-3.3364226135310475,1.5
ANIMEUSDT,1747507499999,2025-05-17 18:44:59,0.02367,1747508399999,2025-05-17 18:59:59,0.02353,-0.5914659907055396,0.25
APEUSDT,1700489699999,2023-11-20 14:14:59,1.458,1700537399999,2023-11-21 03:29:59,1.49,2.194787379972567,13.25
APEUSDT,1731762899999,2024-11-16 13:14:59,1.229,1731769199999,2024-11-16 14:59:59,1.1895,-3.213995117982106,1.75
API3USDT,1660240799999,2022-08-11 17:59:59,2.22,1660241699999,2022-08-11 18:14:59,2.163,-2.567567567567585,0.25
API3USDT,1674288899999,2023-01-21 08:14:59,1.516,1674323099999,2023-01-21 17:44:59,1.628,7.3878627968337645,9.5
API3USDT,1675220399999,2023-02-01 02:59:59,1.648,1675221299999,2023-02-01 03:14:59,1.673,1.516990291262144,0.25
API3USDT,1689848999999,2023-07-20 10:29:59,1.139,1689864299999,2023-07-20 14:44:59,1.12,-1.668129938542573,4.25
API3USDT,1691324099999,2023-08-06 12:14:59,1.092,1691387099999,2023-08-07 05:44:59,1.282,17.399267399267394,17.5
API3USDT,1693219499999,2023-08-28 10:44:59,1.067,1693268999999,2023-08-29 00:29:59,1.024,-4.029990627928766,13.75
API3USDT,1694691899999,2023-09-14 11:44:59,1.0689,1694692799999,2023-09-14 11:59:59,1.0665,-0.22452989054167438,0.25
API3USDT,1695780899999,2023-09-27 02:14:59,1.1318,1695787199999,2023-09-27 03:59:59,1.1234,-0.7421805972786679,1.75
API3USDT,1696849199999,2023-10-09 10:59:59,1.127,1696863599999,2023-10-09 14:59:59,1.0715,-4.924578527063008,4.0
API3USDT,1702373399999,2023-12-12 09:29:59,1.7263,1702376099999,2023-12-12 10:14:59,1.6714,-3.1802120141342725,0.75
API3USDT,1704008699999,2023-12-31 07:44:59,2.0873,1704012299999,2023-12-31 08:44:59,1.9426,-6.932400709049961,1.0
API3USDT,1705712399999,2024-01-20 00:59:59,1.8187,1705777199999,2024-01-20 18:59:59,2.5906,42.442403914884245,18.0
API3USDT,1706380199999,2024-01-27 18:29:59,2.4155,1706445899999,2024-01-28 12:44:59,2.8053,16.13744566342371,18.25
API3USDT,1709961299999,2024-03-09 05:14:59,4.2837,1709968499999,2024-03-09 07:14:59,3.9672,-7.388472582113584,2.0
API3USDT,1710966599999,2024-03-20 20:29:59,3.5292,1710999899999,2024-03-21 05:44:59,3.6482,3.3718689788054013,9.25
API3USDT,1729376999999,2024-10-19 22:29:59,1.4808,1729378799999,2024-10-19 22:59:59,1.4734,-0.4997298757428317,0.5
API3USDT,1730051999999,2024-10-27 17:59:59,1.7549,1730053799999,2024-10-27 18:29:59,1.6822,-4.142686192945466,0.5
API3USDT,1744478999999,2025-04-12 17:29:59,0.9081,1744537499999,2025-04-13 09:44:59,0.8898,-2.015196564255036,16.25
API3USDT,1755347399999,2025-08-16 12:29:59,0.8744,1755356399999,2025-08-16 14:59:59,0.8207,-6.141354071363217,2.5
API3USDT,1757182499999,2025-09-06 18:14:59,1.1009,1757189699999,2025-09-06 20:14:59,1.0425,-5.304750658552095,2.0
APTUSDT,1676384099999,2023-02-14 14:14:59,13.98,1676384999999,2023-02-14 14:29:59,13.766,-1.530758226037199,0.25
APTUSDT,1691585999999,2023-08-09 12:59:59,7.779,1691639099999,2023-08-10 03:44:59,7.339,-5.656254017225859,14.75
APTUSDT,1702392299999,2023-12-12 14:44:59,8.666,1702393199999,2023-12-12 14:59:59,8.707,0.47311331640895876,0.25
APTUSDT,1710411299999,2024-03-14 10:14:59,14.035,1710422999999,2024-03-14 13:29:59,13.783,-1.7955112219451417,3.25
APTUSDT,1727957699999,2024-10-03 12:14:59,8.3495,1727961299999,2024-10-03 13:14:59,8.364,0.17366309359841853,1.0
