timestamp,datetime,symbol,price,boll_15m_upper,boll_30m_middle,boll_4h_middle,current_oi,min_oi_3d,volume_ratio
1603544399999,2020-10-24 12:59:59,THETAUSDT,0.6892,0.6876960436518298,0.6406467499999999,0.5828442500000004,0.0,0.0,1.511697318819716
1603545299999,2020-10-24 13:14:59,THETAUSDT,0.6932,0.688143699318661,0.6406467499999999,0.5828442500000004,0.0,0.0,1.511697318819716
1603546199999,2020-10-24 13:29:59,THETAUSDT,0.6923,0.6885795912410348,0.6407002499999999,0.5828442500000004,0.0,0.0,1.511697318819716
1603547099999,2020-10-24 13:44:59,THETAUSDT,0.6962,0.6890500315670195,0.6407002499999999,0.5828442500000004,0.0,0.0,1.511697318819716
1603547999999,2020-10-24 13:59:59,THETAUSDT,0.6975,0.6895305687549846,0.6407477499999998,0.5828442500000004,0.0,0.0,1.511697318819716
1603548899999,2020-10-24 14:14:59,THETAUSDT,0.6968,0.6899858190474177,0.6407477499999998,0.5828442500000004,0.0,0.0,1.511697318819716
1611590399999,2021-01-25 15:59:59,THETAUSDT,2.1885,2.1000191395512333,1.9657665,1.2886424999999988,0.0,0.0,2.118764480842456
1611591299999,2021-01-25 16:14:59,THETAUSDT,2.1619,2.1022307136532445,1.9657665,1.2886424999999988,0.0,0.0,2.118764480842456
1611592199999,2021-01-25 16:29:59,THETAUSDT,2.1701,2.1045615162887534,1.9662205,1.2886424999999988,0.0,0.0,2.118764480842456
1611593099999,2021-01-25 16:44:59,THETAUSDT,2.137,2.1063127946478963,1.9662205,1.2886424999999988,0.0,0.0,2.118764480842456
1611593999999,2021-01-25 16:59:59,THETAUSDT,2.171,2.1085572187457213,1.9666572500000001,1.2886424999999988,0.0,0.0,2.118764480842456
1611594899999,2021-01-25 17:14:59,THETAUSDT,2.2204,2.1116547655065143,1.9666572500000001,1.2886424999999988,0.0,0.0,2.118764480842456
